epoch,acc,loss,val_acc,val_loss
0,0.9380000233650208,0.3109700679779053,0.6000000238418579,1116.2061767578125
1,0.9649999737739563,0.1041332557797432,0.6000000238418579,304.6484069824219
2,0.9929999709129333,0.021888600662350655,0.8240000009536743,1.9061787128448486
3,0.9929999709129333,0.01966940425336361,0.9480000138282776,0.3300059735774994
4,0.9869999885559082,0.045562926679849625,0.9760000109672546,0.1016559973359108
5,0.9919999837875366,0.024836404249072075,0.972000002861023,0.10467272996902466
6,0.9959999918937683,0.01786060258746147,0.9800000190734863,0.1212005764245987
7,0.9959999918937683,0.01347928587347269,0.9520000219345093,0.14295420050621033
8,0.9990000128746033,0.005290578119456768,0.9599999785423279,0.1212262287735939
9,0.9990000128746033,0.0030706755351275206,0.9520000219345093,0.19938111305236816
10,1.0,0.002362998202443123,0.9319999814033508,0.32102257013320923
11,1.0,0.0021324099507182837,0.9480000138282776,0.2098497450351715
12,1.0,0.0006915178382769227,0.9599999785423279,0.09260398894548416
13,0.9990000128746033,0.0014858122449368238,0.9919999837875366,0.026572274044156075
14,1.0,0.0014322968199849129,0.9959999918937683,0.00791624654084444
15,0.996999979019165,0.019986329600214958,0.9359999895095825,0.21801623702049255
16,0.9980000257492065,0.008988960646092892,0.9639999866485596,0.1068829819560051
17,0.9959999918937683,0.00967668928205967,0.9959999918937683,0.011666905134916306
18,0.9990000128746033,0.005240870174020529,1.0,0.002919690916314721
19,0.9990000128746033,0.0036831290926784277,1.0,0.0007525763940066099
